//Duration
0
3	30	25
end

//Messages
1
15	3	6
end

//Mobs in Event
//Mob	Map	Map2
2
135	0	1
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
136	0	0
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
137	0	1
end

//Event Time
//Hour Min
3
0	00
1	00
2	00
3	00
4	00
5	00
6	00
7	00
8	00
9	00
10	00
11	00
12	00
13	00
14	00
15	00
16	00
17	00
18	00
19	00
20	00
21	00
22	00
23	00
0	15
1	15
2	15
3	15
4	15
5	15
6	15
7	15
8	15
9	15
10	15
11	15
12	15
13	15
14	15
15	15
16	15
17	15
18	15
19	15
20	15
21	15
22	15
23	15
0	30
1	30
2	30
3	30
4	30
5	30
6	30
7	30
8	30
9	30
10	30
11	30
12	30
13	30
14	30
15	30
16	30
17	30
18	30
19	30
20	30
21	30
22	30
23	30
0	45
1	45
2	45
3	45
4	45
5	45
6	45
7	45
8	45
9	45
10	45
11	45
12	45
13	45
14	45
15	45
16	45
17	45
18	45
19	45
20	45
21	45
22	45
23	45
end
